"Age_yrs_b2k" "norm_units"
42875 0.156
42900 0.181
42925 0.132
42950 0.125
42975 0.098
43000 0.157
43025 0.36
43050 0.428
43075 0.363
43100 0.5
43125 0.199
43150 0.229
43175 0.31
43200 0.322
43225 0.208
43250 0.089
43275 0.151
43300 0.293
43325 0.123
43350 -0.133
43375 -0.299
43400 -0.415
43425 -0.513
43450 -0.6
43475 -0.688
43500 -0.772
43525 -0.818
43550 -0.84
43575 -0.801
43600 -0.704
43625 -0.666
43650 -0.7
43675 -0.73
43700 -0.74
43725 -0.748
43750 -0.722
43775 -0.696
43800 -0.587
43825 -0.482
43850 -0.45
43875 -0.428
43900 -0.507
43925 -0.616
43950 -0.633
43975 -0.611
44000 -0.578
44025 -0.545
44050 -0.563
44075 -0.66
44100 -0.703
44125 -0.633
44150 -0.56
44175 -0.49
44200 -0.424
44225 -0.485
44250 -0.542
44275 -0.493
44300 -0.431
44325 -0.318
44350 -0.189
44375 -0.1
44400 -0.035
44425 -0.018
44450 0.051
44475 0.137
44500 0.23
44525 0.059
44550 -0.074
44575 -0.182
44600 -0.151
44625 -0.135
44650 -0.222
44675 -0.224
44700 -0.133
44725 -0.128
44750 -0.14
44775 -0.141
44800 -0.128
44825 -0.098
44850 -0.077
44875 -0.05
44900 0.049
44925 0.01
44950 -0.115
44975 -0.182
45000 -0.206
45025 -0.191
45050 -0.142
45075 -0.05
45100 0.117
45125 0.069
45150 0.01
45175 -0.008
45200 0.016
45225 0.018
45250 -0.062
45275 -0.016
45300 0.052
45325 -0.03
45350 -0.069
45375 -0.083
45400 -0.031
45425 0.022
45450 0.091
45475 0.189
45500 0.273
45525 0.28
45550 0.272
45575 0.257
45600 0.224
45625 0.242
45650 0.37
45675 0.308
45700 0.27
45725 0.393
45750 0.223
45775 0.157
45800 0.313
45825 0.209
45850 0.214
45875 0.372
45900 0.414
45925 0.329
45950 0.365
45975 0.376
46000 0.328
46025 0.282
46050 0.392
46075 0.48
46100 0.55
46125 0.45
46150 0.375
46175 0.497
46200 0.463
46225 0.459
46250 0.555
46275 0.435
46300 0.453
46325 0.385
46350 0.528
46375 0.595
46400 0.526
46425 0.453
46450 0.396
46475 0.408
46500 0.569
46525 0.743
46550 0.486
46575 0.439
46600 0.353
46625 0.436
46650 0.524
46675 0.558
46700 0.67
46725 0.668
46750 0.666
46775 0.684
46800 0.714
46825 0.742
46850 0.759
46875 0.72
46900 0.55
46925 0.22
46950 -0.251
46975 -0.368
47000 -0.365
47025 -0.367
47050 -0.388
47075 -0.49
47100 -0.527
47125 -0.5
47150 -0.489
47175 -0.491
47200 -0.451
47225 -0.415
47250 -0.446
47275 -0.481
47300 -0.43
47325 -0.356
47350 -0.288
47375 -0.235
47400 -0.185
47425 -0.262
47450 -0.335
47475 -0.359
47500 -0.357
47525 -0.341
47550 -0.285
47575 -0.233
47600 -0.418
47625 -0.612
47650 -0.543
47675 -0.319
47700 -0.203
47725 -0.397
47750 -0.587
47775 -0.54
47800 -0.464
47825 -0.434
47850 -0.443
47875 -0.457
47900 -0.505
47925 -0.556
47950 -0.597
47975 -0.637
48000 -0.673
