"Age_yrs_b2k" "norm_units" "error"
23750 -0.071 0.085
23775 -0.094 0.087
23800 -0.12 0.085
23825 -0.14 0.079
23850 -0.152 0.077
23875 -0.151 0.073
23900 -0.148 0.071
23925 -0.142 0.072
23950 -0.142 0.08
23975 -0.155 0.098
24000 -0.184 0.124
24025 -0.226 0.144
24050 -0.316 0.151
24075 -0.372 0.141
24100 -0.386 0.128
24125 -0.392 0.123
24150 -0.391 0.115
24175 -0.385 0.114
24200 -0.382 0.112
24225 -0.377 0.111
24250 -0.374 0.114
24275 -0.371 0.113
24300 -0.375 0.117
24325 -0.373 0.117
24350 -0.37 0.117
24375 -0.366 0.117
24400 -0.364 0.118
24425 -0.359 0.12
24450 -0.35 0.117
24475 -0.346 0.116
24500 -0.347 0.122
24525 -0.337 0.133
24550 -0.322 0.161
24575 -0.283 0.185
24600 -0.165 0.189
24625 -0.055 0.182
24650 -0.007 0.163
24675 0.012 0.131
24700 0.035 0.087
24725 0.044 0.064
24750 0.04 0.057
24775 0.035 0.056
24800 0.028 0.056
24825 0.023 0.059
24850 0.014 0.066
24875 0.007 0.074
24900 -0.004 0.079
24925 -0.013 0.082
24950 -0.022 0.085
24975 -0.028 0.081
25000 -0.022 0.077
25025 -0.015 0.073
25050 -0.005 0.068
25075 -0.001 0.065
25100 -0.004 0.068
25125 -0.011 0.072
25150 -0.03 0.077
25175 -0.056 0.08
25200 -0.077 0.08
25225 -0.094 0.077
25250 -0.109 0.076
25275 -0.119 0.074
25300 -0.125 0.076
25325 -0.122 0.08
25350 -0.12 0.087
25375 -0.113 0.091
25400 -0.105 0.092
25425 -0.094 0.094
25450 -0.081 0.097
25475 -0.062 0.098
25500 -0.038 0.105
25525 -0.007 0.099
25550 0.004 0.092
25575 -0.002 0.092
25600 -0.025 0.094
25625 -0.055 0.096
25650 -0.085 0.098
25675 -0.107 0.093
25700 -0.128 0.088
25725 -0.138 0.083
25750 -0.15 0.082
25775 -0.16 0.085
25800 -0.153 0.086
25825 -0.138 0.091
25850 -0.125 0.09
25875 -0.109 0.09
25900 -0.102 0.091
25925 -0.099 0.086
25950 -0.099 0.091
25975 -0.101 0.094
26000 -0.105 0.099
26025 -0.102 0.104
26050 -0.079 0.105
26075 -0.063 0.107
26100 -0.046 0.103
26125 -0.026 0.098
26150 -0.018 0.086
26175 -0.013 0.082
26200 -0.016 0.082
26225 -0.017 0.082
26250 -0.017 0.083
26275 -0.015 0.089
26300 -0.004 0.096
26325 0.016 0.096
26350 0.043 0.101
26375 0.064 0.105
26400 0.077 0.111
26425 0.084 0.113
26450 0.093 0.128
26475 0.093 0.138
26500 0.082 0.146
26525 0.059 0.151
26550 0.035 0.153
26575 0.023 0.14
26600 0.016 0.122
26625 0.009 0.108
26650 0.003 0.101
26675 0.005 0.1
26700 0.011 0.107
26725 0.023 0.12
26750 0.033 0.131
26775 0.053 0.138
26800 0.094 0.15
26825 0.133 0.148
26850 0.158 0.133
26875 0.162 0.125
26900 0.156 0.116
26925 0.15 0.108
26950 0.143 0.097
26975 0.137 0.092
27000 0.129 0.085
27025 0.12 0.083
27050 0.108 0.081
27075 0.102 0.081
27100 0.091 0.077
27125 0.081 0.078
27150 0.069 0.079
27175 0.064 0.076
27200 0.057 0.074
27225 0.055 0.072
27250 0.057 0.07
27275 0.057 0.071
27300 0.059 0.072
27325 0.065 0.072
27350 0.067 0.071
27375 0.071 0.069
27400 0.079 0.07
27425 0.092 0.071
27450 0.106 0.074
27475 0.116 0.076
27500 0.124 0.076
27525 0.134 0.078
27550 0.148 0.082
27575 0.167 0.088
27600 0.18 0.092
27625 0.195 0.099
27650 0.212 0.102
27675 0.231 0.104
27700 0.261 0.105
27725 0.284 0.103
